uuid,day_id,license,model,feature,requests_cnt,spent_amount
user_920,2025-05-01,Premium,Model_A,Feature_1,44.0,16.380000000000003
user_717,2025-03-04,Premium,Model_B,Feature_2,72.0,27.919999999999998
user_610,2025-05-08,Premium,Model_A,Feature_2,27.0,9.87
user_94,2025-03-11,Basic,Model_D,Feature_1,76.0,14.670000000000002
user_920,2025-05-14,Premium,Model_E,Feature_3,47.0,9.88
user_97,2025-05-14,Basic,Model_A,Feature_1,10.0,3.01
user_338,2025-04-19,Basic,Model_A,Feature_3,13.0,5.29
user_433,2025-05-28,Enterprise,Model_E,Feature_1,81.0,14.19
user_81,2025-03-19,Standard,Model_E,Feature_3,59.0,12.92
user_311,2025-03-07,Standard,Model_D,Feature_1,56.0,12.12
user_12,2025-05-29,Premium,Model_D,Feature_2,215.0,41.12
user_156,2025-05-02,Enterprise,Model_B,Feature_5,36.0,14.64
user_571,2025-05-28,Enterprise,Model_A,Feature_5,9.0,3.81
user_640,2025-04-25,Enterprise,Model_B,Feature_2,114.0,47.46
user_386,2025-03-14,Basic,Model_E,Feature_2,28.0,6.76
user_332,2025-05-12,Premium,Model_D,Feature_1,245.0,42.09
user_455,2025-03-20,Basic,Model_B,Feature_1,38.0,13.46
user_679,2025-05-23,Enterprise,Model_A,Feature_2,27.0,9.99
user_319,2025-05-21,Premium,Model_E,Feature_4,100.0,21.24
user_461,2025-04-09,Standard,Model_C,Feature_1,42.0,3.93
user_671,2025-05-12,Standard,Model_C,Feature_3,69.0,13.350000000000001
user_825,2025-04-14,Enterprise,Model_B,Feature_3,123.0,51.03
user_532,2025-05-26,Enterprise,Model_D,Feature_3,63.0,8.07
user_156,2025-05-02,Enterprise,Model_B,Feature_1,99.0,36.21
user_387,2025-03-25,Enterprise,Model_E,Feature_3,60.0,12.81
user_9,2025-05-21,Standard,Model_A,Feature_1,33.0,12.75
user_686,2025-04-04,Standard,Model_E,Feature_3,28.0,5.38
user_597,2025-05-30,Basic,Model_D,Feature_5,48.0,6.12
user_272,2025-05-12,Enterprise,Model_D,Feature_2,114.0,11.82
user_380,2025-04-08,Basic,Model_D,Feature_2,40.0,8.08
user_102,2025-05-30,Basic,Model_D,Feature_2,31.0,7.03
user_774,2025-03-21,Enterprise,Model_D,Feature_1,90.0,14.46
user_697,2025-03-28,Enterprise,Model_C,Feature_4,125.0,17.95
user_165,2025-05-26,Basic,Model_D,Feature_1,115.0,20.91
user_819,2025-03-18,Enterprise,Model_A,Feature_2,42.0,14.49
user_262,2025-04-14,Enterprise,Model_A,Feature_1,21.0,7.77
user_153,2025-04-07,Standard,Model_E,Feature_1,42.0,7.25
user_390,2025-03-12,Basic,Model_A,Feature_1,22.0,8.059999999999999
user_951,2025-05-06,Enterprise,Model_E,Feature_1,192.0,24.18
user_338,2025-05-11,Basic,Model_A,Feature_5,8.0,2.63
user_837,2025-03-19,Enterprise,Model_D,Feature_3,60.0,18.75
user_225,2025-04-24,Basic,Model_C,Feature_3,29.0,7.01
user_78,2025-04-30,Basic,Model_A,Feature_2,9.0,4.09
user_852,2025-03-24,Premium,Model_A,Feature_2,38.0,14.399999999999999
user_702,2025-05-12,Enterprise,Model_C,Feature_3,93.0,8.97
user_437,2025-03-28,Standard,Model_A,Feature_3,14.0,5.35
user_459,2025-03-07,Enterprise,Model_D,Feature_1,120.0,27.57
user_296,2025-03-27,Enterprise,Model_E,Feature_2,138.0,20.97
user_909,2025-05-18,Enterprise,Model_D,Feature_4,136.0,11.06
user_624,2025-03-31,Enterprise,Model_E,Feature_2,138.0,17.64
user_803,2025-03-14,Basic,Model_B,Feature_2,39.0,14.94
user_499,2025-03-04,Enterprise,Model_D,Feature_1,117.0,19.95
user_887,2025-05-26,Standard,Model_C,Feature_2,28.0,5.17
user_893,2025-03-27,Enterprise,Model_C,Feature_3,174.0,29.25
user_39,2025-04-16,Premium,Model_A,Feature_5,16.0,5.74
user_160,2025-03-06,Basic,Model_C,Feature_4,42.0,8.67
user_102,2025-04-30,Basic,Model_D,Feature_2,66.0,13.09
user_708,2025-03-10,Enterprise,Model_A,Feature_5,15.0,5.46
user_963,2025-05-27,Premium,Model_B,Feature_3,64.0,22.259999999999998
user_598,2025-04-18,Premium,Model_D,Feature_3,105.0,15.5
user_251,2025-03-28,Enterprise,Model_D,Feature_2,108.0,20.07
user_539,2025-03-25,Enterprise,Model_B,Feature_2,93.0,34.08
user_530,2025-04-15,Enterprise,Model_A,Feature_1,33.0,12.36
user_817,2025-05-28,Premium,Model_D,Feature_1,83.0,17.98
user_223,2025-03-21,Enterprise,Model_B,Feature_3,45.0,12.9
user_277,2025-03-06,Basic,Model_C,Feature_1,78.0,19.58
user_707,2025-03-05,Basic,Model_C,Feature_1,39.0,6.8
user_131,2025-05-10,Standard,Model_A,Feature_2,34.0,13.2
user_701,2025-03-05,Enterprise,Model_C,Feature_1,297.0,50.91
user_653,2025-04-30,Premium,Model_D,Feature_1,156.0,32.17
user_687,2025-05-29,Premium,Model_A,Feature_5,37.0,13.58
user_966,2025-05-13,Basic,Model_D,Feature_3,15.0,3.79
user_9,2025-03-17,Standard,Model_A,Feature_1,15.0,6.63
user_625,2025-05-06,Standard,Model_D,Feature_5,64.0,6.19
user_545,2025-05-02,Enterprise,Model_A,Feature_1,30.0,9.93
